id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,atl,date
bitcoin,btc,Bitcoin,71254.0,1425992427341,1,36885627065,20013412.0,20013518.0,126080.0,67.81,2026-04-09
ethereum,eth,Ethereum,2183.68,263533410379,2,17151171918,120691115.8662477,120691115.8662477,4946.05,0.432979,2026-04-09
tether,usdt,Tether,0.999945,184102721156,3,59754687552,184113182684.5677,189580122535.4062,1.32,0.572521,2026-04-09
binancecoin,bnb,BNB,602.54,82163841315,4,1053341964,136356711.93,136356698.24,1369.99,0.0398177,2026-04-09
ripple,xrp,XRP,1.33,81621541323,5,2531318684,61405531717.0,99985687636.0,3.65,0.00268621,2026-04-09
usd-coin,usdc,USDC,0.999816,78293049868,6,12615234963,78308475671.92941,78309136404.25429,1.043,0.877647,2026-04-09
solana,sol,Solana,82.23,47206718597,7,3091978709,574083926.4792663,574083945.1126063,293.31,0.500801,2026-04-09
tron,trx,TRON,0.3178,30118707457,8,431219277,94769888116.2298,94769912713.7636,0.431288,0.00180434,2026-04-09
figure-heloc,figr_heloc,Figure Heloc,1.032,17103808711,9,19058044,16570858419.787,16570858419.787,1.049,0.155357,2026-04-09
dogecoin,doge,Dogecoin,0.091622,14087604112,10,1201063784,153758506383.7052,169469903126.5791,0.731578,8.69e-05,2026-04-09
